,Clause,mainVerb,mainReferent,Gold,predictions,Contrast,Contrast_Labels
257,"Boardman, Poland Township, Struthers, Lowellville, Warren, Lordstown, Canfield, Niles, and many other towns and districts crowd around Youngstown",crowded,Township,DYNAMIC,['STATIVE'],,STATIVE
258,(see Figure 3).,see,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
259,"People from each town are more likely to work, shop, eat,",shop,People,STATIVE,['STATIVE'],y,DYNAMIC
260,"and socialize in towns separate from their own,",socialize,People,DYNAMIC,['DYNAMIC'],,STATIVE
261,making each town strongly dependent on every other town.,making,,STATIVE,['STATIVE'],,DYNAMIC
262,"However, although traffic gets heavy between each separate district,",is,traffic,DYNAMIC,['DYNAMIC'],y,STATIVE
263,"each area has its own distinct cultural ethnicity, educational system, heritage, history, and even food.",has,area,STATIVE,['STATIVE'],,DYNAMIC
264,"For example, Struthers houses a large Slovak population,",is,Struthers,DYNAMIC,['STATIVE'],y,STATIVE
265,"where education is generally better than in surrounding towns,",is,education,STATIVE,['STATIVE'],,DYNAMIC
266,but unemployment is much higher,is,unemployment,STATIVE,['STATIVE'],,DYNAMIC
267,and pollution is widespread.,is,pollution,STATIVE,['STATIVE'],,DYNAMIC
268,Most people in Struthers practice either the Orthodox or Baptist faith.,are,people,DYNAMIC,['STATIVE'],y,STATIVE
269,"Two blocks over lies Boardman, a well-off township with a reputation for rich but unsuccessful schools.",finds,blocks,DYNAMIC,['STATIVE'],y,STATIVE
270,"Its residents are mainly Italian and Roman Catholic, with a small concentration of Methodists on the east side.",are,residents,STATIVE,['STATIVE'],y,DYNAMIC
271,"Unemployment rates hit a lower point than in surrounding towns,",is,Unemployment,DYNAMIC,['DYNAMIC'],y,STATIVE
272,and the streets are clean and well kept.,are,streets,STATIVE,['STATIVE'],,DYNAMIC
273,"With many more cultures, religions, and economic levels living in close proximity to one another, a curious phenomenon is increasingly belonging to the area: regionalism.",overtaken,phenomenon,STATIVE,['STATIVE'],y,DYNAMIC
274,"Each town, with their own identity, wants to instill a strong regionalistic feeling within their respective populations,",instills,town,STATIVE,['STATIVE'],y,DYNAMIC
275,"which dictates many habits, exchanges, and interactions between populations.",dictates,populations,DYNAMIC,['DYNAMIC'],,STATIVE
276,"Oftentimes this regionalism involves bizarre forms of hatred, with certain towns",takes,regionalism,STATIVE,['STATIVE'],y,DYNAMIC
277,becoming sworn enemies of others.,becoming,regionalism,DYNAMIC,['DYNAMIC'],,STATIVE
278,"With so much regional tension, it was very hard",became,it,STATIVE,['STATIVE'],y,DYNAMIC
279,"for workers to unite under a common cause, even one",unite,workers,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
280,that would save their jobs and their futures.,save,one,DYNAMIC,['STATIVE'],,STATIVE
281,"Workers from Poland Township did not want to attend rallies with workers from Campbell,",refuse,Workers,STATIVE,['STATIVE'],y,DYNAMIC
282,and citizens of Struthers would become suspicious,become,Workers,DYNAMIC,['DYNAMIC'],,STATIVE
283,"of people from Boardman, even if they were supposed to be working towards the same thing.",supposed,they,STATIVE,['STATIVE'],,DYNAMIC
284,"A lack of cooperation represented a crippling problem for the movement,",became,lack,STATIVE,['STATIVE'],y,DYNAMIC
285,because no one was willing to put aside regional differences to work together.,was,one,STATIVE,['STATIVE'],,DYNAMIC
286,"In some instances, small companies wanted to show support in helping the movement",express,companies,STATIVE,['DYNAMIC'],y,DYNAMIC
287,"or in relocating their business in the area,",relocating,interest,DYNAMIC,['DYNAMIC'],,STATIVE
288,but because of regional pride no one could ever agree,agree,companies,DYNAMIC,['DYNAMIC'],,STATIVE
289,where the new businesses should relocate.,relocate,businesses,DYNAMIC,['DYNAMIC'],,STATIVE
290,In this way the people of the Mahoning Valley didn’t have access to many opportunities for new industrial or commercial lifeblood because of arbitrary arguments,missed,people,STATIVE,['DYNAMIC'],y,DYNAMIC
291,where the goal was simply to protect regional pride.,was,goal,STATIVE,['STATIVE'],,DYNAMIC
292,Conclusion: The Aftershock and the Significance of Black Monday,,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
293,Black Monday dealt a devastating blow to an entire generation of people.,was,Aftershock,DYNAMIC,['DYNAMIC'],y,STATIVE
295,after the fact were unsuccessful for four main reasons:,were,fact,STATIVE,['STATIVE'],,DYNAMIC
296,"the failure of the international steel market, the lack of funds and plans in initiatives such as the Save Our Valley Campaign, the refusal of the USWA to support their local chapter out of ineptitude and fear, and the absurd but very real regionalism",support,USWA,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
297,which corrupted solidarity efforts,corrupted,regionalism,DYNAMIC,['DYNAMIC'],,STATIVE
298,and drove away any hope for brining in new companies.,drove,regionalism,DYNAMIC,['DYNAMIC'],,STATIVE
299,Considering the events,happened,What,STATIVE,['STATIVE'],y,DYNAMIC
300,"in Youngstown may not seem significant on an international or even on a national level, and perhaps",seem,happened,STATIVE,['STATIVE'],,DYNAMIC
301,it is not.,is,happened,STATIVE,['STATIVE'],,DYNAMIC
302,"But to the thousands of people living there,",living,people,CANNOT_DECIDE,['CANNOT_DECIDE'],y,CANNOT_DECIDE
303,the loss of the mills was a devastating event,was,loss,STATIVE,['STATIVE'],,DYNAMIC
304,"that sent shock waves through their economic, political, and social futures.",sent,event,DYNAMIC,['DYNAMIC'],,STATIVE
305,"Because of the mills and their conspicuous absence, hundreds of people knew they were effectively uprooted, forced to leave their homes and tightly knit communities.",uprooted,hundreds,STATIVE,['DYNAMIC'],y,DYNAMIC
306,"The unemployment lines seemed to have hundreds more join,",joined,Hundreds,STATIVE,['DYNAMIC'],y,DYNAMIC
307,or even began living on the streets.,began,joined,DYNAMIC,['DYNAMIC'],,STATIVE
308,"For the people of Youngstown, they didn’t look at Black Monday as just a historical event-",was,Monday,DYNAMIC,['STATIVE'],y,STATIVE
309,it was the most important event in their lives.,was,it,STATIVE,['STATIVE'],,DYNAMIC
310,"The steel workers who tried to save their jobs and their lives had become part of something greater than themselves, something",were,workers,DYNAMIC,['DYNAMIC'],y,STATIVE
311,which would endure,endure,something,STATIVE,['STATIVE'],,DYNAMIC
312,long after they had moved away,moved,they,DYNAMIC,['DYNAMIC'],,STATIVE
313,and moved on.,moved,they,DYNAMIC,['DYNAMIC'],,STATIVE
314,"Even though they eventually were unable to succeed, the fact",failed,they,STATIVE,['STATIVE'],y,DYNAMIC
315,that they tried to preserve,tried,they,DYNAMIC,['DYNAMIC'],,STATIVE
316,what they felt belonged to them is an amazing example of how far people will go to save their lives and the futures of their children.,is,fact,STATIVE,['STATIVE'],,DYNAMIC
