,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
193,"People touted vague ideas of worker collectivization,","People clung to vague ideas of worker collectivization,",clung,People,touted,DYNAMIC,['DYNAMIC'],participant
194,but no one could really fathom,but no one could really fathom,fathom,People,,DYNAMIC,['STATIVE'],
195,exactly how that would work;,exactly how that would work;,work,that,,DYNAMIC,['STATIVE'],
196,"the people of Youngstown were, after all, not particularly familiar with socialism or collectivization in general.","the people of Youngstown were, after all, not particularly familiar with socialism or collectivization in general.",were,people,,STATIVE,['STATIVE'],
197,"Beyond that, no one could articulate","Beyond that, no one knew",knew,one,articulate,DYNAMIC,['STATIVE'],participant
198,how they should proceed:,how they should proceed:,proceed,they,,DYNAMIC,['CANNOT_DECIDE'],
199,everyone knew that saving,everyone knew that saving,knew,everyone,,STATIVE,['STATIVE'],
200,"the mills was important,","the mills was important,",was,saving,,STATIVE,['STATIVE'],
201,but nobody stepped forward with a full-fledged plan to do it,but nobody stepped forward with a full-fledged plan to do it,stepped,saving,,DYNAMIC,['DYNAMIC'],
202,without losing huge amounts of money,without losing huge amounts of money,losing,,,DYNAMIC,['DYNAMIC'],
203,and dragging even more people down.,and dragging even more people down.,dragging,,,DYNAMIC,['DYNAMIC'],
204,"Without a real plan, the campaign was incapable of achieving anything concrete.","Without a real plan, nothing could truly be achieved.",achieved,nothing,was,STATIVE,['STATIVE'],copula
205,"Without funds to drive the efforts, or even a real plan of action, the Save Our Valley Campaign was more harmful than beneficial.","Without funds to drive the efforts, or even a real plan of action, the Save Our Valley Campaign did more harm than good.",did,Campaign,was,STATIVE,['STATIVE'],copula
206,"In effect, this meant raising the hopes of workers","In effect, it raised the hopes of workers",raised,it,meant,STATIVE,['DYNAMIC'],descriptive
207,without having any real chance at saving anything.,without having any real chance at saving anything.,having,hopes,,STATIVE,['STATIVE'],
208,"People were excited and kept waiting for the mills to reappear,","People became excited and waited for the mills to reappear,",became,People,were,STATIVE,['DYNAMIC'],copula
209,but they never did.,but they never did.,did,People,,DYNAMIC,['DYNAMIC'],
210,The Campaign was unable to save any jobs,The Campaign failed to save any jobs,failed,Campaign,was,STATIVE,['DYNAMIC'],copula
211,and Youngstown was plunged into economic chaos.,and Youngstown was plunged into economic chaos.,plunged,Campaign,,DYNAMIC,['DYNAMIC'],
212,The Apathy of USWA,The Apathy of USWA,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
213,Some formed the union United Steel Workers of America,United Steel Workers of America was the union,was,Apathy,formed,DYNAMIC,['DYNAMIC'],participant
214,representing the Youngstown steel workers,representing the Youngstown steel workers,representing,union,,STATIVE,['DYNAMIC'],
215,when the closings hit.,when the closings hit.,hit,closings,,DYNAMIC,['DYNAMIC'],
216,Initially many worked under the assumption,Initially many assumed,assumed,many,worked,DYNAMIC,['DYNAMIC'],participant
217,that their union would take a lead role in fighting for the recovery of their jobs.,that their union would take a lead role in fighting for the recovery of their jobs.,take,union,,DYNAMIC,['DYNAMIC'],
218,"However, they soon realized","However, it soon became clear",became,it,realized,STATIVE,['DYNAMIC'],thought
219,"that although the local union leaders were prepared to fight,","that although the local union leaders were prepared to fight,",were,leaders,,STATIVE,['STATIVE'],
220,the international branch was not.,the international branch was not.,was,branch,,STATIVE,['STATIVE'],
221,"The higher levels of the union were increasingly estranged from Youngstown and its plight,","The higher levels of the union became increasingly disassociated with Youngstown and its plight,",became,levels,were,STATIVE,['DYNAMIC'],copula
222,attempting to shut out the appeals from workers and local union representatives,attempting to shut out the appeals from workers and local union representatives,attempting,,,DYNAMIC,['DYNAMIC'],
223,and to ignore,and to ignore,ignore,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
224,what was really happening.,what was really happening.,happening,what,,DYNAMIC,['DYNAMIC'],
225,The union leaders of the USWA could not devise a solution for,"Actually, one main reason for the behavior of the USWA was that union leaders really had no idea",was,reason,devise,DYNAMIC,['DYNAMIC'],participant
226,what to do.,what to do.,do,what,,CANNOT_DECIDE,['CANNOT_DECIDE'],
227,"No one had ever been witness to a shutdown of this magnitude and rapidity before,","No one had ever seen a shutdown of this magnitude and rapidity before,",seen,one,been,STATIVE,['DYNAMIC'],copula
228,"and none of the leaders of USWA, not even president Lynn Williams, knew","and none of the leaders of USWA, not even president Lynn Williams, knew",knew,one,,STATIVE,['STATIVE'],
229,what could be done.,what could be done.,done,what,,DYNAMIC,['DYNAMIC'],
230,Everyone accepted,It was clear to everyone,was,It,accepted,DYNAMIC,['STATIVE'],participant
231,"that the economic fallout from this series of closings would be one of the worst in US history,","that the economic fallout from this series of closings would be one of the worst in US history,",be,fallout,,STATIVE,['STATIVE'],
232,and so without any real precedents the union leaders were flustered.,and so without any real precedents the union leaders were flustered.,were,leaders,,STATIVE,['DYNAMIC'],
233,"Rather than try and come up with some sort of scenario, the USWA did not want to acknowledge","Rather than try and come up with some sort of scenario, the USWA simply ignored",ignored,USWA,want,STATIVE,['DYNAMIC'],thought
234,"what was going on in Youngstown,","what was going on in Youngstown,",going,what,,DYNAMIC,['STATIVE'],
235,hoping,hoping,hoping,what,,STATIVE,['STATIVE'],
236,"that perhaps the problem would resolve itself,","that perhaps the problem would resolve itself,",resolve,problem,,DYNAMIC,['DYNAMIC'],
237,or at least not spread any further,or at least not spread any further,,,,DYNAMIC,['DYNAMIC'],
238,than it already had.,than it already had.,had,problem,,DYNAMIC,['DYNAMIC'],
239,"Besides incompetence, the USWA gave one other major reason for rejecting their local counterpart: fear of socialism.","Besides incompetence, the USWA had one other major reason for rejecting their local counterpart: fear of socialism.",had,USWA,gave,DYNAMIC,['STATIVE'],participant
240,"Obviously the union itself did not fear socialist action,","Obviously the union itself was not afraid of socialist action,",was,union,fear,DYNAMIC,['STATIVE'],thought
241,but they worried,but they worried,worried,union,,STATIVE,['DYNAMIC'],
242,that the federal government might see the efforts of Youngstown workers to collectivize as a movement towards socialism and perhaps even communism.,that the federal government might see the efforts of Youngstown workers to collectivize as a movement towards socialism and perhaps even communism.,see,government,,DYNAMIC,['DYNAMIC'],
243,"If the USWA publicly wanted to revive the mills and encouraged worker control and ownership of the factories,","If the USWA supported the efforts to revive the mills and encouraged worker control and ownership of the factories,",supported,USWA,wanted,STATIVE,['DYNAMIC'],thought
244,then the government (and potentially other important people and institutions as well),then the government (and potentially other important people and institutions as well),,,,CANNOT_DECIDE,['DYNAMIC'],
245,might begin to think,might begin to think,begin,government,,DYNAMIC,['STATIVE'],
246,that the UWSA leaders were encouraging socialism.,that the UWSA leaders were encouraging socialism.,encouraging,leaders,,DYNAMIC,['STATIVE'],
247,This would lead to a situation,This would mean,mean,This,lead,DYNAMIC,['DYNAMIC'],participant
248,"that UWSA would lose credibility with the American government and its people, something","that UWSA would lose credibility with the American government and its people, something",lose,UWSA,,DYNAMIC,['DYNAMIC'],
249,they could not afford to do.,they could not afford to do.,afford,they,,STATIVE,['STATIVE'],
250,"Therefore, they preferred withdrawing support","Therefore, they decided to withdraw support",decided,they,preferred,STATIVE,['DYNAMIC'],thought
251,and let the local branch fight it out alone.,and let the local branch fight it out alone.,let,they,,DYNAMIC,['CANNOT_DECIDE'],
252,Regionalism,Regionalism,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
253,"From its very first days, small villages and hamlets have packed the Mahoning Valley.",From its very first days the Mahoning Valley has been an area packed with small villages and hamlets.,been,Valley,packed,DYNAMIC,['DYNAMIC'],participant
254,The major city area is concentrated in Youngstown,"Youngstown is the name of the major city area,",is,Youngstown,concentrated,DYNAMIC,['STATIVE'],participant
255,but surrounding it on all sides are small communities,but surrounding it on all sides are small communities,are,surrounding,,STATIVE,['STATIVE'],
256,which to the casual viewer are indistinguishable from the main city itself.,which to the casual viewer are indistinguishable from the main city itself.,are,communities,,STATIVE,['STATIVE'],
257,"Boardman, Poland Township, Struthers, Lowellville, Warren, Lordstown, Canfield, Niles, and many other towns and districts crowd around Youngstown","Boardman, Poland Township, Struthers, Lowellville, Warren, Lordstown, Canfield, Niles, and many other towns and districts are crowded around Youngstown",crowded,Township,crowd,DYNAMIC,['STATIVE'],participant
258,(see Figure 3).,(see Figure 3).,see,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
259,"People from each town are more likely to work, shop, eat,","People from each town work, shop, eat,",shop,People,are,STATIVE,['STATIVE'],copula
260,"and socialize in towns separate from their own,","and socialize in towns separate from their own,",socialize,People,,DYNAMIC,['DYNAMIC'],
261,making each town strongly dependent on every other town.,making each town strongly dependent on every other town.,making,,,STATIVE,['STATIVE'],
262,"However, although traffic gets heavy between each separate district,","However, although traffic is heavy between each separate district,",is,traffic,gets,DYNAMIC,['DYNAMIC'],becoming
263,"each area has its own distinct cultural ethnicity, educational system, heritage, history, and even food.","each area has its own distinct cultural ethnicity, educational system, heritage, history, and even food.",has,area,,STATIVE,['STATIVE'],
264,"For example, Struthers houses a large Slovak population,","For example, Struthers is a poor town with a large Slovak population,",is,Struthers,houses,DYNAMIC,['STATIVE'],participant
265,"where education is generally better than in surrounding towns,","where education is generally better than in surrounding towns,",is,education,,STATIVE,['STATIVE'],
266,but unemployment is much higher,but unemployment is much higher,is,unemployment,,STATIVE,['STATIVE'],
267,and pollution is widespread.,and pollution is widespread.,is,pollution,,STATIVE,['STATIVE'],
268,Most people in Struthers practice either the Orthodox or Baptist faith.,Most people in Struthers are either Orthodox or Baptist.,are,people,practice,DYNAMIC,['STATIVE'],participant
269,"Two blocks over one finds Boardman, a well-off township with a reputation for rich but unsuccessful schools.","Two blocks over one finds Boardman, a well-off township with a reputation for rich but unsuccessful schools.",finds,blocks,,DYNAMIC,['DYNAMIC'],
270,"It is populated mainly by Italian and Roman Catholic residents, with a small concentration of Methodists on the east side.","Its residents are mainly Italian and Roman Catholic, with a small concentration of Methodists on the east side.",are,residents,populated,DYNAMIC,['STATIVE'],participant
271,"Unemployment rates hit a lower point than in surrounding towns,","Unemployment is low in comparison with surrounding towns,",is,Unemployment,hit,DYNAMIC,['DYNAMIC'],participant
272,and the streets are clean and well kept.,and the streets are clean and well kept.,are,streets,,STATIVE,['STATIVE'],
273,"With many more cultures, religions, and economic levels living in close proximity to one another, a curious phenomenon is increasingly belonging to the area: regionalism.","With many more cultures, religions, and economic levels living in close proximity to one another, a curious phenomenon has overtaken the area: regionalism.",overtaken,phenomenon,belonging,STATIVE,['STATIVE'],descriptive
274,"Each town, with their own identity, wants to instill a strong regionalistic feeling within their respective populations,","Each town, with their own identity, instills a strong regionalistic feeling within their respective populations,",instills,town,wants,STATIVE,['STATIVE'],thought
275,"which dictates many habits, exchanges, and interactions between populations.","which dictates many habits, exchanges, and interactions between populations.",dictates,populations,,DYNAMIC,['DYNAMIC'],
276,"Oftentimes this regionalism involves bizarre forms of hatred, with certain towns","Oftentimes this regionalism takes the form of bizarre forms of hatred, with certain towns",takes,regionalism,involves,STATIVE,['STATIVE'],descriptive
277,becoming sworn enemies of others.,becoming sworn enemies of others.,becoming,regionalism,,DYNAMIC,['DYNAMIC'],
278,"With so much regional tension, it was very hard","With so much regional tension, it became very hard",became,it,was,STATIVE,['STATIVE'],copula
279,"for workers to unite under a common cause, even one","for workers to unite under a common cause, even one",unite,workers,,CANNOT_DECIDE,['CANNOT_DECIDE'],
280,that would save their jobs and their futures.,that would save their jobs and their futures.,save,one,,DYNAMIC,['STATIVE'],
281,"Workers from Poland Township did not want to attend rallies with workers from Campbell,","Workers from Poland Township would refuse to attend rallies with workers from Campbell,",refuse,Workers,want,STATIVE,['STATIVE'],thought
282,and citizens of Struthers would become suspicious,and citizens of Struthers would become suspicious,become,Workers,,DYNAMIC,['DYNAMIC'],
283,"of people from Boardman, even if they were supposed to be working towards the same thing.","of people from Boardman, even if they were supposed to be working towards the same thing.",supposed,they,,STATIVE,['STATIVE'],
284,"A lack of cooperation was thought to be a crippling problem for the movement,","A lack of cooperation became a crippling problem for the movement,",became,lack,thought,STATIVE,['STATIVE'],thought
285,because no one was willing to put aside regional differences to work together.,because no one was willing to put aside regional differences to work together.,was,one,,STATIVE,['STATIVE'],
286,"In some instances, small companies wanted to show support in helping the movement","In some instances, small companies would express interest in helping the movement",express,companies,wanted,STATIVE,['DYNAMIC'],thought
287,"or in relocating their business in the area,","or in relocating their business in the area,",relocating,interest,,DYNAMIC,['DYNAMIC'],
288,but because of regional pride no one could ever agree,but because of regional pride no one could ever agree,agree,companies,,DYNAMIC,['DYNAMIC'],
289,where the new businesses should relocate.,where the new businesses should relocate.,relocate,businesses,,DYNAMIC,['DYNAMIC'],
290,In this way the people of the Mahoning Valley were bereft of many opportunities for new industrial or commercial lifeblood because of arbitrary arguments,In this way the people of the Mahoning Valley missed many opportunities for new industrial or commercial lifeblood because of arbitrary arguments,missed,people,were,STATIVE,['STATIVE'],copula
291,where the goal was simply to protect regional pride.,where the goal was simply to protect regional pride.,was,goal,,STATIVE,['STATIVE'],
292,Conclusion: The Aftershock and the Significance of Black Monday,Conclusion: The Aftershock and the Significance of Black Monday,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],
293,Black Monday dealt a devastating blow to an entire generation of people.,Black Monday was a devastating blow to an entire generation of people.,was,Aftershock,dealt,DYNAMIC,['DYNAMIC'],participant
294,The efforts to avoid catastrophe,The efforts to avoid catastrophe,avoid,efforts,,CANNOT_DECIDE,['CANNOT_DECIDE'],
295,after the fact were unsuccessful for four main reasons:,after the fact were unsuccessful for four main reasons:,were,fact,,STATIVE,['STATIVE'],
296,"the failure of the international steel market, the lack of funds and plans in initiatives such as the Save Our Valley Campaign, the refusal of the USWA to support their local chapter out of ineptitude and fear, and the absurd but very real regionalism","the failure of the international steel market, the lack of funds and plans in initiatives such as the Save Our Valley Campaign, the refusal of the USWA to support their local chapter out of ineptitude and fear, and the absurd but very real regionalism",support,USWA,,CANNOT_DECIDE,['CANNOT_DECIDE'],
297,which corrupted solidarity efforts,which corrupted solidarity efforts,corrupted,regionalism,,DYNAMIC,['DYNAMIC'],
298,and drove away any hope for brining in new companies.,and drove away any hope for brining in new companies.,drove,regionalism,,DYNAMIC,['DYNAMIC'],
299,Thinking about the events,What happened,happened,What,thinking,STATIVE,['DYNAMIC'],thought
300,"in Youngstown may not seem significant on an international or even on a national level, and perhaps","in Youngstown may not seem significant on an international or even on a national level, and perhaps",seem,happened,,STATIVE,['STATIVE'],
301,it is not.,it is not.,is,happened,,STATIVE,['STATIVE'],
302,"But to the thousands of people living there,","But to the thousands of people living there,",living,people,,CANNOT_DECIDE,['CANNOT_DECIDE'],
303,the loss of the mills was a devastating event,the loss of the mills was a devastating event,was,loss,,STATIVE,['STATIVE'],
304,"that sent shock waves through their economic, political, and social futures.","that sent shock waves through their economic, political, and social futures.",sent,event,,DYNAMIC,['DYNAMIC'],
305,"Because of the mills and their conspicuous absence, hundreds of people knew they were effectively uprooted, forced to leave their homes and tightly knit communities.","Because of the mills and their conspicuous absence, hundreds of people were uprooted, forced to leave their homes and tightly knit communities.",uprooted,hundreds,knew,STATIVE,['DYNAMIC'],thought
306,"The unemployment lines seemed to have hundreds more join,","Hundreds more joined the unemployment lines,",joined,Hundreds,seemed,STATIVE,['DYNAMIC'],descriptive
307,or even began living on the streets.,or even began living on the streets.,began,joined,,DYNAMIC,['DYNAMIC'],
308,"For the people of Youngstown, they didn’t look at Black Monday as just a historical event-","For the people of Youngstown, Black Monday was not just a historical event-",was,Monday,look,DYNAMIC,['STATIVE'],participant
309,it was the most important event in their lives.,it was the most important event in their lives.,was,it,,STATIVE,['STATIVE'],
310,"The steel workers who tried to save their jobs and their lives had become part of something greater than themselves, something","The steel workers who tried to save their jobs and their lives were part of something greater than themselves, something",were,workers,become,DYNAMIC,['DYNAMIC'],becoming
311,which would endure,which would endure,endure,something,,STATIVE,['STATIVE'],
312,long after they had moved away,long after they had moved away,moved,they,,DYNAMIC,['DYNAMIC'],
313,and moved on.,and moved on.,moved,they,,DYNAMIC,['DYNAMIC'],
314,"Even though they eventually were unable to succeed, the fact","Even though they eventually failed, the fact",failed,they,were,STATIVE,['STATIVE'],copula
315,that they tried to preserve,that they tried to preserve,tried,they,,DYNAMIC,['DYNAMIC'],
316,what they felt belonged to them is an amazing example of how far people will go to save their lives and the futures of their children.,what they felt belonged to them is an amazing example of how far people will go to save their lives and the futures of their children.,is,fact,,STATIVE,['STATIVE'],
